index,name,artist,release_date,length,popularity,danceability
192,Nights In White Satin - Single Version / Mono Mix,The Moody Blues,1967,4.4851,68,0.195
193,Bridge Over Troubled Water,Simon & Garfunkel,1970,4.885333333,72,0.149
194,All Apologies,Nirvana,1993,3.886216667,69,0.446
195,Born in the U.S.A.,Bruce Springsteen,1984,4.644666667,75,0.398
196,Pour Some Sugar On Me - Remastered 2017,Def Leppard,1987,4.4551,74,0.267
197,Better Man,Pearl Jam,1994,4.476433333,67,0.445
198,Over the Hills and Far Away - 1990 Remaster,Led Zeppelin,1973,4.822666667,61,0.412
199,Blister In The Sun,Violent Femmes,1983,2.428433333,69,0.726
200,Californication,Red Hot Chili Peppers,1999,5.49555,81,0.592
201,Roadhouse Blues (Takes 1 & 2) [We're Gonna Have A Real Good Time] - 2020 Remaster,The Doors,2020,5.000883333,33,0.629
202,Tiny Dancer,Elton John,1971,6.284883333,79,0.414
203,Aqualung,Jethro Tull,1971,6.6031,65,0.477
204,Knockin' On Heaven's Door,Bob Dylan,1973,2.498,73,0.513
205,For What It's Worth,Buffalo Springfield,1966,2.56155,75,0.653
206,White Rabbit,Jefferson Airplane,1967,2.510666667,69,0.551
207,What's Going On,Marvin Gaye,1971,3.9411,58,0.433
208,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,1974,3.914433333,70,0.475
209,Thunder Road,Bruce Springsteen,1975,4.812,66,0.369
210,Tumbling Dice,The Rolling Stones,1972,3.772216667,60,0.615
211,Ruby Tuesday,The Rolling Stones,1967,3.274883333,62,0.524
212,Epic,Faith No More,1989,4.894216667,70,0.358
213,Crazy Train,Ozzy Osbourne,1980,4.936666667,56,0.453
214,Live Forever - Remastered,Oasis,1994,4.611016667,24,0.104
215,Dust in the Wind,Kansas,1977,3.437766667,77,0.475
216,Pinball Wizard,The Who,1969,3.015716667,68,0.543
217,In The Air Tonight - 2015 Remastered,Phil Collins,1981,5.60755,77,0.446
218,Burning Down the House,Talking Heads,1983,4.032,66,0.779
219,Suite: Judy Blue Eyes - 2005 Remaster,"Crosby, Stills & Nash",1969,7.400883333,64,0.451
220,Paradise By the Dashboard Light,Meat Loaf,1977,8.472216667,67,0.326
221,Bennie And The Jets - Remastered 2014,Elton John,1973,5.3758,61,0.665
222,Johnny B. Goode,Chuck Berry,1959,2.692666667,75,0.534
223,One Step Closer,Linkin Park,2000,2.622216667,75,0.492
224,The Boys Of Summer,Don Henley,1984,4.812216667,76,0.516
225,All The Small Things,blink-182,1999,2.8,5,0.439
226,Chop Suey!,System Of A Down,2001,3.504,80,0.419
227,"No Woman, No Cry (Arr. Kanneh-Mason)",Various Artists,2020,2.433633333,4,0.29
228,Immigrant Song - Remaster,Led Zeppelin,1970,2.4375,76,0.564
229,Proud Mary,Various Artists,2020,3.079766667,12,0.673
230,The End,The Doors,1967,11.72288333,61,0.347
231,Scar Tissue,Red Hot Chili Peppers,1999,3.598433333,77,0.595
232,Rebel Yell,Billy Idol,1983,4.808883333,72,0.53
233,Vertigo,U2,2004,3.242,51,0.416
234,Times Like These,Foo Fighters,2002,4.427333333,1,0.373
